allele	asc_allele	threshold	tag	duplicated
IGHV1-AJUR*00	IGHV3-G34*01	0.001	V	IGHV3-64*07
IGHV1-AUTT*00	IGHV1-G9*01	0.001	V	IGHV1-69-2*01
IGHV1-AVNM*00	IGHV5-G50*01	0.001	V	IGHV4-4*01
IGHV1-AWA6*00	IGHV8-G59*01	0.001	V	IGHV7-81*01
IGHV1-B2B5*00	IGHV4-G16*02	0.001	V	IGHV3-15*07
IGHV1-BAAP*00	IGHV1-G2*02	0.001	V	IGHV1-2*02
IGHV1-BAZM*00	IGHV1-G7*01	0.001	V	IGHV1-58*02
IGHV1-BB4N*00	IGHV6-G55*01	0.001	V	IGHV5-10-1*03
IGHV1-BDQZ*00	IGHV1-G2*03	0.001	V	IGHV1-2*06
IGHV1-BGXO*00	IGHV3-G32*03	0.001	V	IGHV3-66*03
IGHV1-BKZC*00	IGHV1-G8*05	0.001	V	IGHV1-69*19
IGHV1-BM5U*00	IGHV3-G14*02	0.001	V	IGHV3-11*05
IGHV1-BOBA*00	IGHV1-G2*04	0.001	V	IGHV1-2*07
IGHV1-BR4P*00	IGHV3-G18*01	0.001	V	IGHV3-19*01
IGHV1-BXGC*00	IGHV2-G11*01	0.001	V	IGHV2-26*01
IGHV1-C7GW*00	IGHV8-G58*01	0.001	V	IGHV7-4-1*04
IGHV1-CAUG*00	IGHV5-G53*01	0.001	V	IGHV4-61*10
IGHV1-CD4N*00	IGHV3-G32*04	0.001	V	IGHV3-53*05
IGHV1-CLFH*00	IGHV7-G57*01	0.001	V	IGHV6-1*01
IGHV1-CZBS*00	IGHV6-G56*02	0.001	V	IGHV5-51*03
IGHV1-DLLY*00	IGHV5-G44*01	0.001	V	IGHV4-30-2*05
IGHV1-DOWS*00	IGHV9-G60*01	0.001	V	IGHV8-51-1*04
IGHV1-DRTK*00	IGHV3-G32*05	0.001	V	IGHV3-66*01
IGHV1-ECBC*00	IGHV3-G41*01	0.001	V	IGHV3-9*01
IGHV1-EDQZ*00	IGHV6-G56*03	0.001	V	IGHV5-51*01
IGHV1-EENP*00	IGHV3-G28*03	0.001	V	IGHV3-43D*03
IGHV1-EKZR*00	IGHV1-G4*01	0.001	V	IGHV1-3*05
IGHV1-EMAS*00	IGHV5-G54*01	0.001	V	IGHV4-61*02
IGHV1-EMM3*00	IGHV3-G14*03	0.001	V	IGHV3-11*01
IGHV1-EPH5*00	IGHV4-G31*01	0.001	V	IGHV3-49*05
IGHV1-EYNX*00	IGHV3-G35*02	0.001	V	IGHV3-64D*06
IGHV1-EZNG*00	IGHV3-G14*04	0.001	V	IGHV3-11*04
IGHV1-F2JK*00	IGHV5-G49*02	0.001	V	IGHV4-39*i03
IGHV1-F7KJ*00	IGHV5-G43*02	0.001	V	IGHV4-28*07
IGHV1-F7YL*00	IGHV2-G11*02	0.001	V	IGHV2-26*02
IGHV1-FBDZ*00	IGHV3-G29*01	0.001	V	IGHV3-47*01
IGHV1-FBY4*00	IGHV5-G50*02	0.001	V	IGHV4-4*02
IGHV1-FCSA*00	IGHV3-G20*03	0.001	V	IGHV3-21*07
IGHV1-FNCQ*00	IGHV6-G55*02	0.001	V	IGHV5-10-1*01
IGHV1-FNWR*00	IGHV1-G4*02	0.001	V	IGHV1-3*02
IGHV1-FOWS*00	IGHV3-G37*03	0.001	V	IGHV3-7*01
IGHV1-FV7B*00	IGHV1-G3*01	0.001	V	IGHV1-24*01
IGHV1-G2VF*00	IGHV5-G44*02	0.001	V	IGHV4-30-2*06
IGHV1-G3UN*00	IGHV3-G15*01	0.001	V	IGHV3-13*01
IGHV1-GEG7*00	IGHV5-G54*02	0.001	V	IGHV4-61*11
IGHV1-GHPJ*00	IGHV3-G28*04	0.001	V	IGHV3-43*01
IGHV1-GODO*00	IGHV5-G52*04	0.001	V	IGHV4-59*01
IGHV1-GVNH*00	IGHV3-G17*01	0.001	V	IGHV3-16*04
IGHV1-H2SA*00	IGHV9-G60*02	0.001	V	IGHV8-51-1*03
IGHV1-H6F5*00	IGHV1-G8*06	0.001	V	IGHV1-69*06
IGHV1-HBQO*00	IGHV3-G25*02	0.001	V	IGHV3-35*02
IGHV1-HFSO*00	IGHV5-G45*02	0.001	V	IGHV4-31*11
IGHV1-HLSG*00	IGHV3-G24*03	0.001	V	IGHV3-30*03
IGHV1-HPQR*00	IGHV2-G12*01	0.001	V	IGHV2-5*02
IGHV1-HQCF*00	IGHV3-G21*01	0.001	V	IGHV3-23*04
IGHV1-HVAO*00	IGHV5-G51*01	0.001	V	IGHV4-4*07
IGHV1-HY65*00	IGHV3-G41*02	0.001	V	IGHV3-9*03
IGHV1-INIL*00	IGHV5-G49*03	0.001	V	IGHV4-39*09
IGHV1-IY3K*00	IGHV3-G24*04	0.001	V	IGHV3-30*04/IGHV3-30-3*03
IGHV1-J7IJ*00	IGHV2-G13*02	0.001	V	IGHV2-70*05
IGHV1-JEXP*00	IGHV2-G13*03	0.001	V	IGHV2-70*20
IGHV1-JFO6*00	IGHV5-G52*05	0.001	V	IGHV4-NL1*01
IGHV1-JMAI*00	IGHV3-G30*04	0.001	V	IGHV3-48*04
IGHV1-KAXW*00	IGHV5-G43*03	0.001	V	IGHV4-28*02
IGHV1-KNBP*00	IGHV3-G42*01	0.001	V	IGHV3-NL1*01
IGHV1-KONF*00	IGHV3-G41*03	0.001	V	IGHV3-9*04
IGHV1-KOPG*00	IGHV3-G21*02	0.001	V	IGHV3-23*01/IGHV3-23D*01
IGHV1-L3PD*00	IGHV1-G10*01	0.001	V	IGHV1-8*01
IGHV1-LBO7*00	IGHV3-G20*04	0.001	V	IGHV3-21*03
IGHV1-LDJA*00	IGHV2-G13*04	0.001	V	IGHV2-70D*14
IGHV1-LLLN*00	IGHV3-G41*04	0.001	V	IGHV3-9*02
IGHV1-LNCT*00	IGHV3-G23*02	0.001	V	IGHV3-25*05
IGHV1-M76S*00	IGHV1-G7*02	0.001	V	IGHV1-58*03
IGHV1-MAQN*00	IGHV4-G31*02	0.001	V	IGHV3-49*03
IGHV1-MFKJ*00	IGHV3-G32*06	0.001	V	IGHV3-66*02
IGHV1-MLSV*00	IGHV5-G43*04	0.001	V	IGHV4-28*01
IGHV1-MQRQ*00	IGHV3-G23*03	0.001	V	IGHV3-25*03
IGHV1-MRNY*00	IGHV2-G12*02	0.001	V	IGHV2-5*01
IGHV1-N56A*00	IGHV1-G5*01	0.001	V	IGHV1-45*02
IGHV1-N7LV*00	IGHV1-G5*02	0.001	V	IGHV1-45*03
IGHV1-NCY5*00	IGHV1-G7*03	0.001	V	IGHV1-58*01
IGHV1-NIM4*00	IGHV3-G34*02	0.001	V	IGHV3-64*01
IGHV1-NJZ4*00	IGHV3-G27*01	0.001	V	IGHV3-38-3*01
IGHV1-NLPL*00	IGHV3-G20*05	0.001	V	IGHV3-21*06
IGHV1-NVCJ*00	IGHV1-G8*07	0.001	V	IGHV1-69*09
IGHV1-O354*00	IGHV1-G8*08	0.001	V	IGHV1-69*18
IGHV1-OAAD*00	IGHV3-G36*01	0.001	V	IGHV3-69-1*02
IGHV1-OBG7*00	IGHV1-G10*02	0.001	V	IGHV1-8*02
IGHV1-OEAN*00	IGHV5-G49*04	0.001	V	IGHV4-39*08
IGHV1-OEIR*00	IGHV5-G49*05	0.001	V	IGHV4-39*01
IGHV1-OPDZ*00	IGHV3-G24*05	0.001	V	IGHV3-30*i02
IGHV1-P4UE*00	IGHV3-G35*03	0.001	V	IGHV3-64D*08
IGHV1-PADO*00	IGHV5-G45*03	0.001	V	IGHV4-30-4*i02
IGHV1-PGFG*00	IGHV1-G10*03	0.001	V	IGHV1-8*03
IGHV1-PHVP*00	IGHV3-G40*01	0.001	V	IGHV3-74*01
IGHV1-PT5C*00	IGHV1-G1*02	0.001	V	IGHV1-18*04
IGHV1-Q43D*00	IGHV1-G8*09	0.001	V	IGHV1-69*01/IGHV1-69D*01
IGHV1-QALY*00	IGHV5-G50*03	0.001	V	IGHV4-4*03
IGHV1-QCDM*00	IGHV5-G48*01	0.001	V	IGHV4-38-2*01
IGHV1-QEHF*00	IGHV5-G44*03	0.001	V	IGHV4-30-2*01
IGHV1-QKVS*00	IGHV5-G53*02	0.001	V	IGHV4-61*01
IGHV1-QOFR*00	IGHV5-G45*04	0.001	V	IGHV4-31*01
IGHV1-QVXI*00	IGHV1-G8*10	0.001	V	IGHV1-69*13
IGHV1-R4BM*00	IGHV7-G57*02	0.001	V	IGHV6-1*03
IGHV1-RAQR*00	IGHV1-G6*02	0.001	V	IGHV1-46*04
IGHV1-RAWB*00	IGHV5-G45*05	0.001	V	IGHV4-30-4*09/IGHV4-31*03
IGHV1-RDBY*00	IGHV1-G61*01	0.001	V	
IGHV1-RUAZ*00	IGHV1-G1*03	0.001	V	IGHV1-18*03
IGHV1-S2KR*00	IGHV3-G37*04	0.001	V	IGHV3-7*03
IGHV1-SASM*00	IGHV1-G4*03	0.001	V	IGHV1-3*01
IGHV1-SDGG*00	IGHV5-G46*01	0.001	V	IGHV4-30-4*07
IGHV1-SK6T*00	IGHV3-G24*06	0.001	V	IGHV3-30*02/IGHV3-30-5*02
IGHV1-SKW3*00	IGHV3-G29*02	0.001	V	IGHV3-47*02
IGHV1-SLP3*00	IGHV5-G43*05	0.001	V	IGHV4-28*03
IGHV1-SNLS*00	IGHV3-G32*07	0.001	V	IGHV3-53*04
IGHV1-SVFR*00	IGHV1-G4*04	0.001	V	IGHV1-3*04
IGHV1-SVPK*00	IGHV4-G38*01	0.001	V	IGHV3-72*01
IGHV1-SX43*00	IGHV3-G28*05	0.001	V	IGHV3-43*02
IGHV1-SYW7*00	IGHV3-G24*07	0.001	V	IGHV3-30*20
IGHV1-T52Y*00	IGHV1-G6*03	0.001	V	IGHV1-46*01
IGHV1-T63W*00	IGHV3-G19*03	0.001	V	IGHV3-20*02
IGHV1-T74V*00	IGHV3-G23*04	0.001	V	IGHV3-25*04
IGHV1-TE4C*00	IGHV3-G24*08	0.001	V	IGHV3-33*08
IGHV1-TFER*00	IGHV8-G58*02	0.001	V	IGHV7-4-1*05
IGHV1-TPGZ*00	IGHV5-G47*01	0.001	V	IGHV4-34*01
IGHV1-TXV5*00	IGHV3-G22*01	0.001	V	IGHV3-23*03
IGHV1-UE5J*00	IGHV6-G56*04	0.001	V	IGHV5-51*07
IGHV1-UFA4*00	IGHV9-G60*03	0.001	V	IGHV8-51-1*05
IGHV1-UGDP*00	IGHV3-G17*02	0.001	V	IGHV3-16*02
IGHV1-VHOF*00	IGHV4-G31*03	0.001	V	IGHV3-49*04
IGHV1-VJYM*00	IGHV1-G2*05	0.001	V	IGHV1-2*04
IGHV1-VXP2*00	IGHV9-G60*04	0.001	V	IGHV8-51-1*02
IGHV1-W2NP*00	IGHV4-G39*01	0.001	V	IGHV3-73*01
IGHV1-W2Q3*00	IGHV3-G24*09	0.001	V	IGHV3-30*01
IGHV1-WIOD*00	IGHV2-G13*05	0.001	V	IGHV2-70*04/IGHV2-70D*04
IGHV1-WLDN*00	IGHV3-G24*10	0.001	V	IGHV3-33*06
IGHV1-WTCH*00	IGHV1-G8*11	0.001	V	IGHV1-69*10
IGHV1-X2Z6*00	IGHV3-G15*02	0.001	V	IGHV3-13*05
IGHV1-X3H2*00	IGHV1-G8*12	0.001	V	IGHV1-69*12
IGHV1-X3NU*00	IGHV1-G8*13	0.001	V	IGHV1-69*i04
IGHV1-X3OP*00	IGHV3-G15*03	0.001	V	IGHV3-13*06
IGHV1-XBZL*00	IGHV3-G15*04	0.001	V	IGHV3-13*04
IGHV1-XOAF*00	IGHV2-G13*06	0.001	V	IGHV2-70*01
IGHV1-XS3H*00	IGHV5-G48*02	0.001	V	IGHV4-38-2*02
IGHV1-XWVA*00	IGHV1-G8*14	0.001	V	IGHV1-69*05
IGHV1-XWZX*00	IGHV1-G8*15	0.001	V	IGHV1-69*17
IGHV1-Y66S*00	IGHV1-G8*16	0.001	V	IGHV1-69*04
IGHV1-YGGH*00	IGHV5-G45*06	0.001	V	IGHV4-30-4*01
IGHV1-YLHT*00	IGHV8-G58*03	0.001	V	IGHV7-4-1*01
IGHV1-YLOJ*00	IGHV5-G52*06	0.001	V	IGHV4-4*08
IGHV1-YLWI*00	IGHV2-G11*03	0.001	V	IGHV2-26*04
IGHV1-YX7I*00	IGHV3-G36*02	0.001	V	IGHV3-69-1*01
IGHV1-Z23F*00	IGHV5-G52*07	0.001	V	IGHV4-59*i03
IGHV1-Z6FA*00	IGHV3-G17*03	0.001	V	IGHV3-16*03
IGHV1-ZB56*00	IGHV3-G24*11	0.001	V	IGHV3-30*18/IGHV3-30-5*01
IGHV1-ZCHO*00	IGHV5-G50*04	0.001	V	IGHV4-4*10
IGHV1-ZE4Z*00	IGHV8-G58*04	0.001	V	IGHV7-4-1*02
IGHV1-ZIL2*00	IGHV5-G53*03	0.001	V	IGHV4-61*i04
IGHV1-ZKLP*00	IGHV4-G39*02	0.001	V	IGHV3-73*02
IGHV1-ZRUT*00	IGHV3-G34*03	0.001	V	IGHV3-64*02
